alias,canonical,alias_count,canonical_count_in_pf,alias_years,canonical_years,shared_events,shared_event_ids_sample,alias_event_ids_sample,canonical_event_ids_sample,score,reasons
Jer,Jack Jer,1,1,2010,2010,1,1268445253,1268445253,1268445253,10,"suffix_match,token_subset,shared_events=1,rare_alias,canon_more_common"
Hellberg,Magnus Hellberg,1,18,2005,2004..2012 (8 yrs),1,1102576153,1102576153,"1089373321,1102576153,1125936037,1135116604,1139778550",10,"suffix_match,token_subset,shared_events=1,rare_alias,canon_more_common"
Daniel,Hannés Daniel,2,14,"2003,2006",2003..2010 (7 yrs),1,1135116604,"1035277529,1135116604","1064330873,1102576153,1135116604,1183729267,1194517448",10,"suffix_match,token_subset,shared_events=1,rare_alias,canon_more_common"
Pelko,Ale Pelko,1,10,2003,2006..2018 (8 yrs),0,,1035277529,"1135116604,1149763452,1183729267,1194517448,1199106237",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Smirnov,Alex Smirnov,1,1,2003,2006,0,,1035277529,1137942486,9,"suffix_match,token_subset,rare_alias,canon_more_common"
Smirnov,Alexander Smirnov,1,15,2003,2004..2014 (9 yrs),0,,1035277529,"1069929277,1102576153,1135116604,1161871029,1163784775",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Schmidt,Anne Schmidt,1,7,2003,"2010,2011,2012,2013,2014",0,,1035277529,"1282224512,1298627369,1337617980,1349043745,1354752474",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Fritsch,Antonio Fritsch,1,27,2003,2006..2015 (10 yrs),0,,1035277529,"1135116604,1149763452,1183729267,1194517448,1199106237",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Donnat,Arnaud Donnat,1,10,2003,"2002,2003,2004,2005,2006",0,,1035277529,"1030830356,1050745947,1064849293,1089373321,1103724325",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Zahner,Beni Zahner,1,1,2003,2001,0,,1035277529,981560223,9,"suffix_match,token_subset,rare_alias,canon_more_common"
Ben Alston,Big Ben Alston,1,1,2012,2008,0,,1323272493,1218721346,9,"suffix_match,token_subset,rare_alias,canon_more_common"
Reyer,Chris Reyer,1,1,2003,2003,0,,1035277529,1042821772,9,"suffix_match,token_subset,rare_alias,canon_more_common"
Dubuis,Christian Dubuis,1,8,2001,"2000,2001,2002,2011",0,,996678489,"1004370976,1030830356,1299019355,957778745,981560223",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Reyer,Christopher Reyer,1,1,2003,2001,0,,1035277529,1001076203,9,"suffix_match,token_subset,rare_alias,canon_more_common"
Louis,Denton Louis,1,6,2023,"2007,2008",0,,1686926080,"1163784775,1181021804,1208408135",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Rutz,Dominik Rutz,1,3,2003,"2010,2011",0,,1035277529,"1280907422,1282224512,1299019355",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Schmidt,Eric Schmidt,1,1,2003,2000,0,,1035277529,948198763,9,"suffix_match,token_subset,rare_alias,canon_more_common"
Lindner,Eurik Lindner,1,38,2003,2003..2025 (19 yrs),0,,1035277529,"1064330873,1069929277,1079605499,1089373321,1102576153",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Tellenbach,Grischa Tellenbach,1,127,2003,2002..2025 (23 yrs),0,,1035277529,"1030830356,1042821772,1050745947,1064849293,1080138513",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Roy,Guillaume Perrault Roy,1,1,2004,2021,0,,1079444598,1628025574,9,"suffix_match,token_subset,rare_alias,canon_more_common"
Hellberg,Hakan Hellberg,1,47,2005,2004..2015 (12 yrs),0,,1102576153,"1079605499,1089373321,1125936037,1135116604,1137942486",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Freller,Hanz Freller,1,5,2003,"2000,2001,2003",0,,1035277529,"1038895913,1042821772,947196813,996293200",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Thomas,Heather Thomas,1,6,2006,"2003,2004,2008,2009",0,,1137942486,"1058378281,1069929277,1189977929,1216849705,1235253768",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Simon,Hendrik Simon,1,7,2002,"2009,2011,2012,2013,2014,2018",0,,1025084282,"1226679678,1298627369,1328094862,1349043745,1354752474",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Lindner,Henning Lindner,1,1,2003,2022,0,,1035277529,1565425638,9,"suffix_match,token_subset,rare_alias,canon_more_common"
Pelko,Irena Pelko,1,1,2003,2018,0,,1035277529,1518200935,9,"suffix_match,token_subset,rare_alias,canon_more_common"
Korff,Johannes Korff,1,9,2003,"2010,2011,2012,2013,2014",0,,1035277529,"1256202918,1282224512,1293877917,1294262550,1298627369",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Crain,Joseph Crain,1,1,2003,2003,0,,1035277529,1042821772,9,"suffix_match,token_subset,rare_alias,canon_more_common"
Meneboo,Jules Meneboo,1,6,2003,"2004,2005,2007,2009,2010",0,,1035277529,"1090569022,1103724325,1177512537,1241011525,1277805979",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Nora,Locher Nora,1,1,2003,2004,0,,1064849293,1079605499,9,"suffix_match,token_subset,rare_alias,canon_more_common"
Lacaze,Ludovic Lacaze,1,18,2003,2000..2011 (12 yrs),0,,1035277529,"1001076203,1030830356,1050745947,1090569022,1125936037",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Brunet,Marc Brunet,1,27,2003,2004..2013 (10 yrs),0,,1035277529,"1069929277,1090569022,1103724325,1135116604,1148374547",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Brunet,Marco Brunet,1,7,2003,"2004,2006,2011",0,,1035277529,"1080138513,1134914723,1143027870,1143195910,1160579826",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Roy,Marielou Roy,1,1,2004,2011,0,,1079444598,1293877677,9,"suffix_match,token_subset,rare_alias,canon_more_common"
Simon,Mark Simon,1,1,2002,2023,0,,1025084282,1697391704,9,"suffix_match,token_subset,rare_alias,canon_more_common"
Schmidt,Mathias Lino Schmidt,1,1,2003,2010,0,,1035277529,1260368810,9,"suffix_match,token_subset,rare_alias,canon_more_common"
Schmidt,Mathias Schmidt,1,2,2003,"2006,2012",0,,1035277529,"1137942486,1323272493",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Baker,Matt Baker,1,8,2003,"1998,2000,2001,2002",0,,1035277529,"1028233308,884112176,941418343,979089216,996293200",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Baker,Matthew Baker,1,1,2003,2003,0,,1035277529,1042821772,9,"suffix_match,token_subset,rare_alias,canon_more_common"
Schmidt,Matthias Lino Schmidt,1,43,2003,2000..2023 (16 yrs),0,,1035277529,"1042821772,1052775366,1070734498,1079444598,1089373321",9,"suffix_match,token_subset,rare_alias,canon_more_common"
De Zeeuw,Nicolas De Zeeuw,1,25,2003,2001..2014 (11 yrs),0,,1035277529,"1001076203,1089373321,1090569022,1103724325,1125936037",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Michal,Ostrowski Michal,1,1,2002,2007,0,,1018812342,1185458086,9,"suffix_match,token_subset,rare_alias,canon_more_common"
Dorner,Peter Dorner,1,1,2001,2003,0,,996678489,1041241196,9,"suffix_match,token_subset,rare_alias,canon_more_common"
Roger,Pierre-Alexandre ROGER,1,1,2005,2019,0,,1126086921,1547720079,9,"suffix_match,token_subset,rare_alias,canon_more_common"
Thomas,Russell Thomas,1,2,2006,"2013,2014",0,,1137942486,"1349043745,1389730147",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Thomas,Ryan Thomas,1,19,2006,"2003,2008,2009,2010,2014,2015",0,,1137942486,"1049457912,1216058526,1245793403,1252110023,1268407783",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Weiss,Sabrina Weiss,1,2,2001,2000,0,,996678489,948198763,9,"suffix_match,token_subset,rare_alias,canon_more_common"
Smirnov,Sasha Smirnov,1,3,2003,"2008,2009",0,,1035277529,"1194517448,1226679678,1232474501",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Matthias,Schmidt Matthias,1,4,2008,"2004,2017,2023",0,,1195677906,"1079605499,1089373321,1499025778,1678957450",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Fritsch,Theodore Fritsch,1,81,2003,2001..2022 (19 yrs),0,,1035277529,"1011291051,1021665982,1031334528,1039550946,1049457912",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Tyrpekl,Tomas Tyrpekl,1,5,2001,"1999,2000,2001,2003",0,,996678489,"1000071985,1042821772,942013549,944242404,981560223",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Fritsch,Toni Fritsch,1,3,2003,"2007,2010,2012",0,,1035277529,"1195773772,1282224512,1319622692",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Fritsch,Tony Fritsch,1,1,2003,2004,0,,1035277529,1089373321,9,"suffix_match,token_subset,rare_alias,canon_more_common"
Wigger,Torbin Wigger,1,5,2000,"1984,1999,2001,2011",0,,948198763,"1298627369,2001984001,912467534,917278465,980502839",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Rousseau,Vincent Rousseau,1,34,2003,2002..2012 (11 yrs),0,,1035277529,"1030830356,1064849293,1080138513,1089373321,1090569022",9,"suffix_match,token_subset,rare_alias,canon_more_common"
John,Jari John,2,10,"2006,2010","2011,2016,2017,2018,2019,2022",0,,"1157398732,1268445253","1298627369,1449259560,1460640850,1487797845,1499025778",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Hanna,Mickiewicz Hanna,2,3,2003,"2004,2008",0,,"1041241196,1064849293","1079605499,1219405634",9,"suffix_match,token_subset,rare_alias,canon_more_common"
Arthur,Arthur Ledain,1,74,2005,2003..2018 (16 yrs),1,1103297805,1103297805,"1050745947,1064849293,1080138513,1089373321,1103297805",8,"prefix_match,token_subset,shared_events=1,rare_alias,canon_more_common"
Brayan Bosa,Brayan Bosa Bedoya,1,12,2023,"2009,2012,2023",1,1678957450,1678957450,"1258513500,1346947092,1678957450",8,"prefix_match,token_subset,shared_events=1,rare_alias,canon_more_common"
Jack,Jack Jer,1,1,2010,2010,1,1268445253,1268445253,1268445253,8,"prefix_match,token_subset,shared_events=1,rare_alias,canon_more_common"
Thomas,Thomas Foerster,1,11,2006,2002..2010 (7 yrs),1,1137942486,1137942486,"1028800969,1064330873,1135116604,1137942486,1149763452",8,"prefix_match,token_subset,shared_events=1,rare_alias,canon_more_common"
Daniel,Daniel Meyer,2,5,"2003,2006",2006,1,1135116604,"1035277529,1135116604","1135116604,1149763452,1161167528",8,"prefix_match,token_subset,shared_events=1,rare_alias,canon_more_common"
David,David Beyers,2,9,"2003,2006","2005,2006,2007,2009,2019,2024",1,1149881200,"1050745947,1149881200","1109356644,1149881200,1182542776,1252110023,1552865692",8,"prefix_match,token_subset,shared_events=1,rare_alias,canon_more_common"
David,David Clavens,2,55,"2003,2006",2004..2014 (10 yrs),1,1149881200,"1050745947,1149881200","1069929277,1109356644,1137347261,1143155263,1143172220",8,"prefix_match,token_subset,shared_events=1,rare_alias,canon_more_common"
Luka,Luka-Jean François Bélanger,2,2,"2007,2010","2007,2010",1,1170456736,"1170456736,1268445253","1170456736,1252451527",8,"prefix_match,token_subset,shared_events=1,rare_alias,canon_more_common"
Smirnov,Aleksander Smirnov,1,0,2003,,0,,1035277529,,8,"suffix_match,token_subset,rare_alias"
Frank,Asher Frank,1,0,2010,,0,,1268445253,,8,"suffix_match,token_subset,rare_alias"
Kobe,Bostjan Kobe,1,0,2003,,0,,1035277529,,8,"suffix_match,token_subset,rare_alias"
Send,Daniel Send,1,0,2003,,0,,1035277529,,8,"suffix_match,token_subset,rare_alias"
Karim,Daouk Karim,1,0,2002,,0,,1030830356,,8,"suffix_match,token_subset,rare_alias"
Simon,Henrik Simon,1,0,2002,,0,,1025084282,,8,"suffix_match,token_subset,rare_alias"
Heyes,Jono Heyes,1,0,2003,,0,,1035277529,,8,"suffix_match,token_subset,rare_alias"
Roy,Marilou Roy,1,0,2004,,0,,1079444598,,8,"suffix_match,token_subset,rare_alias"
Rousseau,Marion Rousseau,1,0,2003,,0,,1035277529,,8,"suffix_match,token_subset,rare_alias"
Schmidt,Matze Schmidt,1,0,2003,,0,,1035277529,,8,"suffix_match,token_subset,rare_alias"
Copi,Oton Copi,1,0,2003,,0,,1035277529,,8,"suffix_match,token_subset,rare_alias"
Hanak,Philipp Hanak,1,0,2003,,0,,1035277529,,8,"suffix_match,token_subset,rare_alias"
Thomas,Russ Thomas,1,0,2006,,0,,1137942486,,8,"suffix_match,token_subset,rare_alias"
Jack,Steffen Jack,1,0,2010,,0,,1268445253,,8,"suffix_match,token_subset,rare_alias"
Weiss,Thomas Weiss,1,0,2001,,0,,996678489,,8,"suffix_match,token_subset,rare_alias"
Simon,Voss Simon,1,0,2002,,0,,1025084282,,8,"suffix_match,token_subset,rare_alias"
David,Chabannes David,2,0,"2003,2006",,0,,"1050745947,1149881200",,8,"suffix_match,token_subset,rare_alias"
David,Evan David,2,0,"2003,2006",,0,,"1050745947,1149881200",,8,"suffix_match,token_subset,rare_alias"
Daniel,Hanneé Daniel,2,0,"2003,2006",,0,,"1035277529,1135116604",,8,"suffix_match,token_subset,rare_alias"
David,Juan David,2,1,"2003,2006",2023,0,,"1050745947,1149881200",1678957450,8,"suffix_match,token_subset,rare_alias"
David,Kaufmann David,2,1,"2003,2006",2004,0,,"1050745947,1149881200",1079605499,8,"suffix_match,token_subset,rare_alias"
Nina,Mader Nina,2,1,"2002,2003",2004,0,,"1025084282,1064849293",1079605499,8,"suffix_match,token_subset,rare_alias"
Jakob,Mai Jakob,2,1,"2004,2008",2004,0,,"1079444598,1195677906",1079605499,8,"suffix_match,token_subset,rare_alias"
Jakob,Wagner Jakob,2,1,"2004,2008",2004,0,,"1079444598,1195677906",1079605499,8,"suffix_match,token_subset,rare_alias"
Jean,Jean Galabrun,43,2,2000..2025 (16 yrs),"2019,2022",2,"1547720079,1647508742","1011291051,1039550946,1049457912,1131659634,1135116604","1547720079,1647508742",7,"prefix_match,token_subset,shared_events=2"
Abram,Abram Santana,1,3,2002,"2007,2008,2010",0,,1018812342,"1163784775,1194517448,1265745512",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Bartsch,1,3,2025,"2010,2011,2014",0,,1739036206,"1260368810,1293877677,1391189882",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Bernstein,1,4,2025,2008,0,,1739036206,1193783964,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Bélanger,1,1,2025,2005,0,,1739036206,1107290435,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Davidson,1,1,2025,2008,0,,1739036206,1212769063,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Dworetzky,1,38,2025,2007..2017 (9 yrs),0,,1739036206,"1163784775,1193783964,1194517448,1265745512,1293877677",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Faber,1,7,2025,"2000,2001,2002,2003",0,,1739036206,"1016457376,1044624680,947026077,953918475,984694623",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Grammer,1,2,2025,2005,0,,1739036206,1125004188,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Heerman,1,2,2025,"2003,2006",0,,1739036206,"1044624680,1155788760",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Lopez,1,5,2025,2012,0,,1739036206,"1346947092,1346948712",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Michelewski,1,10,2025,1999..2013 (8 yrs),0,,1739036206,"1042821772,1070734498,1194517448,1235653935,1349043745",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Salgado,1,1,2025,2003,0,,1739036206,1049457912,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Segalowsky,1,1,2025,2003,0,,1739036206,1058877971,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Shocki,1,2,2025,"2003,2006",0,,1739036206,"1042821772,1135116604",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Smirnov,1,1,2025,2006,0,,1739036206,1137942486,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Spears,1,8,2025,"1998,1999,2002,2003,2004,2008",0,,1739036206,"1028218784,1058378281,1069929277,1216849705,876336655",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Starks,1,1,2025,1999,0,,1739036206,903632480,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Strassman,1,4,2025,"2004,2005,2007",0,,1739036206,"1069929277,1075781798,1102576153,1163784775",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Urano,1,1,2025,2006,0,,1739036206,1135116604,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Vannier,1,2,2025,2006,0,,1739036206,"1143027870,1149763452",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Venis,1,3,2025,"2014,2015,2024",0,,1739036206,"1391189882,1417735560,1706036811",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Verget,1,2,2025,2006,0,,1739036206,1148241486,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Watkins,1,1,2025,2008,0,,1739036206,1193783964,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Zeke Ibardaloza,1,2,2025,2006,0,,1739036206,1157942368,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Alex,Alex Zerbe,1,9,2025,"1999,2000,2001,2002,2003",0,,1739036206,"1013283071,1036298726,910551956,915561090,941418343",7,"prefix_match,token_subset,rare_alias,canon_more_common"
André,André Calado Coroado,1,2,2008,"2024,2025",0,,1195677906,"1709070838,1740419380",7,"prefix_match,token_subset,rare_alias,canon_more_common"
André,André Lemaire,1,10,2008,1998..2011 (8 yrs),0,,1195677906,"1069929277,1113344236,1143155263,1180496320,1245199707",7,"prefix_match,token_subset,rare_alias,canon_more_common"
André,André Volksdorf,1,4,2008,"2009,2010,2011,2012",0,,1195677906,"1257621700,1282224512,1298627369,1337617980",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Augustin,Augustin Tiffaud,1,6,2005,2006,0,,1103297805,1134914723,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Augustin,Augustin Tiffou,1,22,2005,"2005,2006,2007,2008,2009",0,,1103297805,"1103724325,1125936037,1135116604,1137942486,1143027870",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Ben,Ben Appold,1,2,2016,2010,0,,1449259560,1267718326,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Ben,Ben Babyak,1,8,2016,"2014,2017,2019,2024,2025",0,,1449259560,"1405875596,1502929111,1555631351,1721320739,1750356087",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Ben,Ben Barrows,1,12,2016,2003..2023 (9 yrs),0,,1449259560,"1044624680,1125004188,1155788760,1163784775,1539024211",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Ben,Ben Benulis,1,10,2016,"2007,2008,2009,2010",0,,1449259560,"1163784775,1173467292,1176844933,1216849705,1235253768",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Ben,Ben Cochrane,1,8,2016,1997..2012 (7 yrs),0,,1449259560,"1102576153,1337309613,857881519,886044392,919703711",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Ben,Ben Elynn,1,2,2016,2002,0,,1449259560,1035817350,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Ben,Ben Enwright,1,1,2016,2006,0,,1449259560,1138601883,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Ben,Ben Hutchinson,1,2,2016,1998,0,,1449259560,"876336655,876356874",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Ben,Ben Johnson,1,2,2016,"2014,2016",0,,1449259560,"1386623061,1458772302",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Ben,Ben Kellman,1,19,2016,2001..2023 (7 yrs),0,,1449259560,"1021665982,1031334528,1049457912,1069929277,1109356644",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Ben,Ben Little,1,5,2016,"1997,1999,2004,2012",0,,1449259560,"1069929277,1337623340,857876517,910551956",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Ben,Ben Rochon,1,1,2016,2004,0,,1449259560,1069929277,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Ben,Ben Roscoe,1,3,2016,"2007,2008",0,,1449259560,"1163784775,1194517448",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Ben,Ben Scarborough,1,8,2016,"2001,2002,2003",0,,1449259560,"1016457376,1021665982,1044624680,1049457912,981129410",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Ben,Ben Schmaltz,1,2,2016,"2003,2007",0,,1449259560,"1036298726,1176318174",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Ben,Ben Skaggs,1,4,2016,"2007,2008",0,,1449259560,"1163784775,1200725314",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Ben,Ben Valentine,1,1,2016,2005,0,,1449259560,1125004188,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Ben,Ben West,1,1,2016,1999,0,,1449259560,919703711,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Ben,Ben Zylbeberg,1,1,2016,2001,0,,1449259560,981129410,7,"prefix_match,token_subset,rare_alias,canon_more_common"
Carlos,CARLOS RAMIREZ,1,12,2010,"2018,2019",0,,1268445253,"1515176008,1527557123,1537994275,1549597969,1568692191",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Carlos,Carlos Acosta,1,4,2010,"2012,2013,2015,2023",0,,1268445253,"1339389008,1353380057,1423020874,1678957450",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Carlos,Carlos Blaumann,1,4,2010,"2010,2011",0,,1268445253,"1286381599,1301675662,1311699287",7,"prefix_match,token_subset,rare_alias,canon_more_common"
Carlos,Carlos Funes,1,2,2010,"2015,2023",0,,1268445253,"1430582557,1699593640",7,"prefix_match,token_subset,rare_alias,canon_more_common"
