event_id,year,event_name,division,source_count,canonical_count,source_max_place,canonical_max_place,is_source_partial,canonical_div_matched,match_score
1001076203,2001,3ème Open de France de Footbag,Double,7,5,5,5,False,Double,1.0
1001942070,2001,Texas State Footbag Championships,30 Second Shred - Intermediate,3,2,3,2,True,30 Second Shred ? Intermediate,0.966
1011291051,2002,Quebec City Footbag Net Championships 2002,Open Singles,17,16,15,15,False,Open Singles,1.0
1011556608,2002,FOOTJAM meets 3BORDERSCUP,Open Freestyle,3,2,3,3,False,Open Freestyle,1.0
1012638214,2002,2002 WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,Open Singles Net,15,13,15,15,False,Open Singles Net,1.0
1012638214,2002,2002 WESTERN REGIONAL FOOTBAG CHAMPIONSHIPS,Open Doubles Net,14,12,14,14,False,Open Doubles Net,1.0
1013283071,2002,23rd Annual WORLD FOOTBAG CHAMPIONSHIPS,Women's Doubles Net,6,4,6,5,False,Women's Doubles Net,1.0
1013283071,2002,23rd Annual WORLD FOOTBAG CHAMPIONSHIPS,Open Mixed Doubles Net,12,11,12,12,False,Open Mixed Doubles Net,1.0
1016457376,2002,Cinco de Mayo Footbag Fest,Novice,8,4,4,4,True,Novice,1.0
1016457376,2002,Cinco de Mayo Footbag Fest,Intermediate,10,8,5,5,True,Intermediate,1.0
1016457376,2002,Cinco de Mayo Footbag Fest,Shred 30,9,8,5,5,True,Shred 30,1.0
1018812342,2002,Czech Footbag Championships,Doubles Freestyle,5,4,5,4,True,Doubles Freestyle,1.0
1018812342,2002,Czech Footbag Championships,Girl's Freestyle,8,7,3,3,True,Girl's Freestyle,1.0
1021665982,2002,2002 East Coast Footbag Championships,Intermediate,12,10,8,8,True,Intermediate,1.0
1021665982,2002,2002 East Coast Footbag Championships,Phat Trick,3,2,2,2,True,Phat Trick,1.0
1025084282,2002,1st Queensland Footbag Challenge,Intermediate 1Min 30 Sec,6,5,6,6,False,Intermediate 1Min 30 Sec,1.0
1028233308,2002,US Open Freestyle Championships,Novice 3 Minute Consecutives,6,5,6,5,False,Novice 3 Minute Consecutives,1.0
1028800969,2002,3. Frankfurt Footbag Open,Doubles Net Open,8,4,8,4,False,Doubles Net Open,1.0
1028800969,2002,3. Frankfurt Footbag Open,Singles Net Open,9,8,9,8,False,Singles Net Open,1.0
1031334528,2003,Funtastik Summer Classic Footbag Tournament,Pro Freestyle- Single,5,4,5,5,False,Pro Freestyle- Single,1.0
1034985978,2003,2003 Canadian Open Footbag Championships,Shred 30 Champion,3,1,3,1,False,Shred 30 Champion,1.0
1035277529,2003,24th Annual WORLD FOOTBAG CHAMPIONSHIPS,Mixed Doubles Freestyle,3,6,3,3,False,Mixed Doubles Freestyle,1.0
1035277529,2003,24th Annual WORLD FOOTBAG CHAMPIONSHIPS,Open Doubles Freestyle,6,12,6,6,False,Open Doubles Freestyle,1.0
1035277529,2003,24th Annual WORLD FOOTBAG CHAMPIONSHIPS,Open Doubles Net,20,40,11,11,False,Open Doubles Net,1.0
1035277529,2003,24th Annual WORLD FOOTBAG CHAMPIONSHIPS,Mixed Doubles Net,7,14,5,5,False,Mixed Doubles Net,1.0
1035277529,2003,24th Annual WORLD FOOTBAG CHAMPIONSHIPS,Women's Open Doubles Net,4,8,4,4,False,Women's Open Doubles Net,1.0
1035277529,2003,24th Annual WORLD FOOTBAG CHAMPIONSHIPS,Intermediate Doubles Net,25,50,13,13,False,Intermediate Doubles Net,1.0
1038895913,2003,Seapa NZ Freestyle Footbag Championships,Unknown,4,3,5,3,False,Unknown,1.0
1038895913,2003,Seapa NZ Freestyle Footbag Championships,2 Minute Open Freestyle,7,6,6,6,False,2 Minute Open Freestyle,1.0
1044952105,2003,"L'Hivernal, The Windchill",Open Doubles Net,10,7,7,7,False,Open Doubles Net,1.0
1045628278,2003,Montreal Footbag Challenge 2003,Pro Shred30,3,2,3,3,False,Pro Shred30,1.0
1046985067,2003,2003 Steel City Footbag Open,Intermediate Big 3,3,2,3,3,False,Intermediate Big3,0.971
1049457912,2003,2003 East Coast Championships - The BIG 2-0,Sick 3,1,2,2,2,False,Sick 3,1.0
1050067583,2003,Turku Open,Pro Doubles,7,6,7,7,False,Pro Doubles,1.0
1050067583,2003,Turku Open,Pro Routines,3,2,3,3,False,Pro Routines,1.0
1050067583,2003,Turku Open,Pro Sick 3,3,2,3,3,False,Pro Sick 3,1.0
1050140930,2003,German Footbag Open 2003,Intermediate Freestyle,6,4,6,6,False,Intermediate Freestyle,1.0
1050140930,2003,German Footbag Open 2003,Women's Freestyle,5,4,5,5,False,Women's Freestyle,1.0
1057126024,1986,East Coast Footbag Championships - 4th Annual - 1986,Singles Consecutive,3,2,3,3,False,Singles Consecutive,1.0
1057345914,1991,East Coast Footbag Championships - 1991 - 9th Annual,Intermediate Doubles Net,3,2,3,3,False,Intermediate Doubles Net,1.0
1058378281,2003,Texas State Footbag Championships,Freestyle - 30 Second Shred,9,7,9,9,False,Freestyle ? 30 Second Shred,0.962
1058378281,2003,Texas State Footbag Championships,Freestyle - Open,12,10,12,12,False,Freestyle ? Open,0.933
1058378281,2003,Texas State Footbag Championships,Open Consecutives,3,1,3,1,False,Open Consecutives,1.0
1061453080,2003,Australian East Coast Regionals,Intermediate Sick 3,3,1,3,1,False,Intermediate Sick Trick,0.857
1061453080,2003,Australian East Coast Regionals,Open Sick Trick,1,3,1,3,False,Open Sick Three,0.8
1061453080,2003,Australian East Coast Regionals,Open Routines,4,3,3,3,False,Open Routines,1.0
1070734498,2004,TODEXON 5,Sick 3,5,3,3,3,False,Sick 3,1.0
1075781798,2004,Funtastik Summer Classic Footbag Tournament,Pro Doubles Net,4,3,4,3,False,Pro Doubles Net,1.0
1076876907,2004,Russian Open Footbag Series/ Stage 1,Open Singles Freestyle,5,4,5,5,False,Open Singles Freestyle,1.0
1076952530,2004,SOUF 2004 Southeastern Regional Footbag Championships,Shred30,6,3,3,3,False,Shred 30,0.933
1079444598,2004,German Footbag Open 2004,Intermediate Singles Net,4,1,4,1,False,Intermediate Single Net,0.979
1079444598,2004,German Footbag Open 2004,Intermediate Doubles Net,3,2,3,3,False,Intermediate Doubles Net,1.0
1079444598,2004,German Footbag Open 2004,Open Singles Net,4,1,4,3,False,Open Single Net,0.968
1079444598,2004,German Footbag Open 2004,Shred,4,2,4,4,False,Shred,1.0
1079444598,2004,German Footbag Open 2004,Sick 3,4,3,4,4,False,Sick 3,1.0
1079444598,2004,German Footbag Open 2004,Intermediate Freestyle,4,3,4,3,False,Intermediate Freestyle,1.0
1079605499,2004,6th Annual IFPA European Footbag Championships,Open Golf,9,7,10,9,False,Open Golf,1.0
1080138513,2004,RNH Contest 2004,Shred 30,10,8,10,9,False,Shred 30,1.0
1080138513,2004,RNH Contest 2004,Sick 3,11,4,8,4,False,Sick 3,1.0
1080757998,2004,Space City Freestyle Jam 2004,Open Sick 3,3,2,3,3,False,Open Sick3,0.952
1081766954,2004,Russian Open Footbag Series/ Stage 2,Open Doubles Net,4,1,4,4,False,Open Doubles Net,1.0
1089373321,2004,6e Open de France de Footbag,Golf,3,2,3,2,False,Golf,1.0
1089373321,2004,6e Open de France de Footbag,Doubles Freestyle,4,3,4,4,False,Doubles Freestyle,1.0
1092044099,2004,Russian Open Footbag Series/ Stage 4,Net Doubles,4,2,4,3,False,Net Doubles,1.0
1092073845,2004,Czech Championships 2004,Open Freestyle,8,10,8,8,False,Open Freestyle,1.0
1092073845,2004,Czech Championships 2004,Sick 3,3,14,3,15,False,Sick 3,1.0
1092073845,2004,Czech Championships 2004,Doubles Net,3,2,3,2,False,Doubles Net,1.0
1094071528,2004,1. Footbag- Net- Jam Berlin 04,Open Doubles Net,10,8,8,8,False,Open Doubles Net,1.0
1094201584,2004,Frankfurt Footbag Open 2004,Open Freestyle,8,5,8,8,False,Open Freestyle,1.0
1094201584,2004,Frankfurt Footbag Open 2004,Open Golf,4,3,3,3,False,Open Golf,1.0
1094201584,2004,Frankfurt Footbag Open 2004,Open Net Fives,4,3,4,4,False,Open Fives,0.833
1097785506,2004,Finnish Singles Net Footbag Championships 2004,Open Singles Net,16,14,16,16,False,Open Singles Net,1.0
1102227996,2005,The Green Cup Presented by Chaos,Open Doubles - For The Green Cup,10,9,10,10,False,Open Doubles - For The Green Cup,1.0
1102227996,2005,The Green Cup Presented by Chaos,Open Singles,10,9,10,10,False,Open Singles,1.0
1102788509,2005,3rd Annual Sunshred Footbag Open (LIVE),Open Freestyle Combo,3,4,3,4,False,Open Freestyle,0.824
1103297805,2005,2e Championnat de France de Footbag,Open Doubles Freestyle,2,4,2,2,False,Open Doubles Freestyle,1.0
1103297805,2005,2e Championnat de France de Footbag,Open Doubles Net,3,6,3,3,False,Open Doubles Net,1.0
1103297805,2005,2e Championnat de France de Footbag,Mixed Doubles Net,2,4,2,2,False,Mixed Doubles Net,1.0
1103297805,2005,2e Championnat de France de Footbag,Freestyle Doubles Routines,2,4,2,2,False,Freestyle Doubles Routines,1.0
1103297805,2005,2e Championnat de France de Footbag,Shred 30,8,7,8,8,False,Shred 30 Sec,0.8
1103297805,2005,2e Championnat de France de Footbag,Sick 3,7,6,5,5,False,Sick 3,1.0
1105353373,2005,5 years Frankfurt Footbag e.V.,Golf Jam,3,2,2,2,False,Golf Jam,1.0
1107290435,2005,The 2005 Montreal International Footbag Championships,Open Doubles,11,13,11,11,False,Open Doubles,1.0
1109802420,2005,6th Annual IFPA Turku Open,Open Doubles Net,10,8,10,9,False,Open Doubles Net,1.0
1117746703,2005,6th Frankfurt Footbag Open,Double Open Net,5,3,5,5,False,Double Open Net,1.0
1117746703,2005,6th Frankfurt Footbag Open,Single Net,7,6,7,7,False,Single Net,1.0
1124840254,2005,The Hackrifice Open 2005,Open Sick 1,4,3,4,3,False,Open Sick 1,1.0
1124840254,2005,The Hackrifice Open 2005,Intermediate Sick 1,1,2,1,2,False,Intermediate Sick 1,1.0
1125936037,2005,7e Open de France de Footbag,Open Doubles Freestyle,5,4,5,4,False,Open Doubles Freestyle,1.0
1125936037,2005,7e Open de France de Footbag,Open Singles Freestyle,14,17,17,17,False,Open Singles Freestyle,1.0
1134914723,2006,RNH Contest 2006,Open Singles Net,15,3,15,3,False,Women's Singles Net,0.857
1134914723,2006,RNH Contest 2006,Open Sick 3,4,6,4,6,False,Open Sick Trick,0.769
1134914723,2006,RNH Contest 2006,Mini Net,3,2,3,3,False,Mini Net,1.0
1135116604,2006,27th IFPA WORLD FOOTBAG CHAMPIONSHIPS,Open Golf,11,10,8,7,False,Open Golf,1.0
1137347261,2006,7th Annual Colorado Shred Symposium,Open Sick 3,7,1,5,1,False,Open Sick 3,1.0
1137942486,2006,8th Annual IFPA European Footbag Championships,Open Doubles Net,21,19,23,23,False,Open Doubles Net,1.0
1137942486,2006,8th Annual IFPA European Footbag Championships,Open Singles Net,17,15,31,17,False,Open Singles Net,1.0
1137942486,2006,8th Annual IFPA European Footbag Championships,Intermediate Singles Freestyle,9,8,9,9,False,Intermediate Singles Freestyle,1.0
1138601883,2006,Santa Cruz Invitational,Sick 3,2,9,2,3,False,Sick 3,1.0
1138601883,2006,Santa Cruz Invitational,Sick 1,11,12,3,3,False,Sick 1,1.0
1139778550,2006,Swedish Open Footbag Net,Double Net,8,7,8,8,False,Double Net,1.0
1143155263,2006,U. S. Open Footbag Championships,Intermediate Doubles Net,6,5,6,6,False,Intermediate Doubles Net,1.0
1143155263,2006,U. S. Open Footbag Championships,Novice Doubles Net,3,2,3,2,False,Novice Doubles Net,1.0
1143155263,2006,U. S. Open Footbag Championships,Intermediate Sick 3,3,2,3,3,False,Intermediate Sick 3,1.0
1143172220,2006,2006 Jersey Spike & Shred,Intermediate Doubles Net,3,2,3,2,False,Intermediate Doubles Net,1.0
1146789209,2006,East Coast Footbag Championships 2006,Open Doubles Net,4,3,4,4,False,Open Doubles Net,1.0
1146843672,2006,Montreal Spring Jam,Open Singles Freestyle,10,9,10,10,False,Open Singles Freestyle,1.0
1148241486,2006,2006 Steel City Shred Off,Open Sick 1,3,2,3,3,False,Open Sick 1,1.0
1148241486,2006,2006 Steel City Shred Off,Open Sick 3,1,3,2,3,False,Open Sick 3,1.0
1148241486,2006,2006 Steel City Shred Off,Intermediate Sick 1,2,3,3,3,False,Intermediate Sick 1,1.0
1148374547,2006,Championnats de France 2006,Freestyle,15,12,11,9,False,Freestyle,1.0
1148374547,2006,Championnats de France 2006,Double Net,8,7,7,7,False,Double Net,1.0
1149763452,2006,8e OPEN de France de Footbag,Sick 3,18,16,12,12,False,Sick 3,1.0
1149881200,2006,Funtastik Summer Classic Tournament and Festival,Singles Net- Novice,3,2,3,3,False,Singles Net- Novice,1.0
1155788760,2006,2006 Southeast Regionals,Net Doubles,5,4,5,5,False,Net Doubles,1.0
1157398732,2006,Danish Footbag Championships 2006,Intermediate Routines,4,3,4,3,False,Intermediate Routines,1.0
1157398732,2006,Danish Footbag Championships 2006,Sick 3,8,2,8,2,False,Sick 3,1.0
1157942368,2006,New Year's Jam 2006,Sick 3,5,3,3,3,False,Sick 3,1.0
1161167528,2006,German Footbag Championships 2006,Double Net,8,16,8,8,False,Double Net,1.0
1161888703,2006,Cornell Footbag Jam,[U]Sick One[/U],4,5,2,3,False,[U]Sick One[/U],1.0
1164845982,2007,The Green Cup 2007 - Presented By Chaos,Open Singles - Division A,12,11,12,11,False,Open Singles - Division A,1.0
1167422711,2007,'07 Southeastern Net Championships,Open Doubles Net,9,7,9,8,False,Open Doubles Net,1.0
1170456736,2007,"L'Hivernal 2007, The 2007 Windchill",Intermediate Singles,4,3,4,4,False,Intermediate Singles,1.0
1172931308,2007,Montreal Spring Jam 2,4-Square,3,2,3,2,False,4-Square,1.0
1173467292,2007,4th annual Montana Freestyle Jam,Intermediate,8,6,6,6,False,Intermediate,1.0
1173467292,2007,4th annual Montana Freestyle Jam,Open,11,8,8,8,False,Open,1.0
1176318174,2007,2007 U.S. Open Footbag Championships,Intermediate Big 3,4,3,4,4,False,Intermediate Big 3,1.0
1176650845,2007,3rd New Jersey Spike and Shred,Open Double Net,7,6,7,7,False,Open Double Net,1.0
1177512537,2007,Championnats de France de Footbag,Singles Freestyle,8,11,7,7,False,Singles Freestyle,1.0
1177512537,2007,Championnats de France de Footbag,Sick3,1,3,3,3,False,Sick3,1.0
1177512537,2007,Championnats de France de Footbag,Team Freestyle,3,2,3,3,False,Team Freestyle,1.0
1177512537,2007,Championnats de France de Footbag,Doubles Net,8,7,8,8,False,Doubles Net,1.0
1182542776,2007,Funtastik Summer Classic,Intermediate Doubles,4,2,4,4,False,Intermediate Doubles,1.0
1189345008,2007,5th Annual Wilanow Footbag Open 2007,Doubles Routines,3,6,3,3,False,Doubles Routines,1.0
1189345008,2007,5th Annual Wilanow Footbag Open 2007,Shred 30,15,18,15,15,False,Shred 30,1.0
1189345008,2007,5th Annual Wilanow Footbag Open 2007,Request Contest,3,7,3,4,False,Request Contest,1.0
1191627566,2007,Cornell Footbag Jam 2,Intermediate Circle,3,2,3,2,False,Intermediate Circle,1.0
1191627566,2007,Cornell Footbag Jam 2,Open Circle,4,3,4,3,False,Open Circle,1.0
1193783964,2008,U.S. Open Footbag Championships,Intermediate Sick 3,3,4,4,4,False,Intermediate Sick 3,1.0
1193783964,2008,U.S. Open Footbag Championships,Intermediate Singles Net,13,12,13,13,False,Intermediate Singles Net:,1.0
1193783964,2008,U.S. Open Footbag Championships,Intermediate Doubles Net,6,5,6,6,False,Intermediate Doubles Net:,1.0
1195585401,2008,The 2008 Green Cup Presented by Chaos,Open Singles,32,18,32,28,False,Open Singles,1.0
1199106237,2008,10th Annual IFPA European Footbag Championships,Open Shred30 Freestyle,16,10,10,10,False,Open Shred30 Freestyle,1.0
1203102773,2008,The 2008 Windy City Cup,Golf,2,1,2,1,False,Golf,1.0
1203604560,2008,CommALaMaison Contest 2008,Mini-Net / Foot-C,18,17,17,17,False,Mini-Net / Foot-C,1.0
1204009603,2008,The 2008 Pro Kicker Montreal Footbag Championships,Open Doubles,15,14,15,15,False,Open Doubles,1.0
1204904987,2008,RNH Contest 2008,Sick 3,1,3,4,4,False,Sick 3,1.0
1206161350,2008,Montreal Spring Jam 3,Inter Circle,4,3,4,3,False,Inter Circle,1.0
1206161350,2008,Montreal Spring Jam 3,Request Contest,8,7,4,4,False,Request Contest,1.0
1212769063,2008,24th Annual Midwest Regional Footbag Championships,Circle Contest,6,5,3,3,False,Circle Contest,1.0
1216058526,2008,Funtastik Summer Classic Footbag Tournament,Pro Freestyle- Single,8,7,8,7,False,Pro Freestyle- Single,1.0
1216058526,2008,Funtastik Summer Classic Footbag Tournament,Amateur Doubles Net - Prizes,4,3,4,4,False,Amateur Doubles Net - Prizes,1.0
1216849705,2008,Texas Statewide Tournament 2008,Freestyle Big 1,4,5,5,5,False,Freestyle Big 1,1.0
1218721346,2008,Memphicago Kick Volley Challenge 1,Open Doubles Net,8,2,8,3,False,Open Doubles Net,1.0
1222687523,2008,10e Open de France de Footbag,Sick 3,3,8,8,8,False,Sick 3,1.0
1224962900,2008,Zocha Jam 2008,Sick3,6,3,3,3,False,Sick3,1.0
1228946926,2008,Czech Footbag Championships,Open Routine,11,10,11,11,False,Open Routine,1.0
1228946926,2008,Czech Footbag Championships,Sick 3,13,11,9,9,False,Sick 3,1.0
1228946926,2008,Czech Footbag Championships,Cfa Shred,11,10,11,11,False,Cfa Shred,1.0
1231286017,2009,2009 U.S. Open Footbag Net Championships,Mixed Doubles Net: 10 Teams,10,9,10,10,False,Mixed Doubles Net: 10 Teams,1.0
1233299407,2009,2009 U.S. Open Freestyle Footbag Championships,Open Performance Routines,11,9,9,9,False,Open Performance Routines,1.0
1235653935,2009,11th Annual IFPA European Footbag Championships - Strzelin,Open Shred:30 Final,8,6,8,8,False,Open Shred:30 Final,1.0
1241031822,2009,Frisbee Footbag Fest,Routine,8,10,7,7,True,Routine,1.0
1244553505,2009,Helsinki Open 2009,Doubles Net,9,8,9,9,False,Doubles Net,1.0
1245793403,2009,Funtastik Summer Classic,Pro Doubles Net,4,3,4,4,False,Pro Doubles Net,1.0
1245793403,2009,Funtastik Summer Classic,Doubles Net- Intermediate,2,1,2,1,False,Doubles Net- Intermediate,1.0
1250478677,2009,Montreal End-of-Summer Jam 1,2-Square,8,7,8,7,False,2-Square,1.0
1252110023,2009,2009 East-Coast Footbag Championships,Singles,15,14,10,10,True,Singles,1.0
1252451527,2010,Funtastik Summer Classic,Pro Doubles Net,14,13,14,14,False,Pro Doubles Net,1.0
1252451527,2010,Funtastik Summer Classic,Doubles Net- Intermediate,4,3,4,4,False,Doubles Net- Intermediate,1.0
1255957016,2009,Zocha Jam 2009,Open Freestyle,20,25,11,11,False,Open Freestyle,1.0
1257621700,2009,German Footbag Championships 2009,Open Singles Net,18,16,18,18,False,Open Singles Net,1.0
1257621700,2009,German Footbag Championships 2009,Open Freetyle,3,2,3,2,False,Open Freetyle,1.0
1257621700,2009,German Footbag Championships 2009,Interm. Double Net,3,2,3,3,False,Interm. Double Net,1.0
1258513500,2009,IFPA South American Championships,Open Net Singles,25,24,25,25,False,Open Net Singles,1.0
1260368810,2010,Frankfurt Footbag 10th Anniversary Jam,Results Pro Image Cash Golf,24,19,14,14,False,Results Pro Image Cash Golf,1.0
1262631137,2010,Urban Komba Footbag Open Footbag Jam,Open Net Singles,4,3,4,4,False,Open Net Singles,1.0
1262691385,2010,Todexon 11,Open Singles Routines,10,9,9,9,False,Open Singles Routines,1.0
1264098849,2010,2010 Mud Island Belt Presented by Memphis Footworks,Singles,16,15,16,16,False,Singles,1.0
1267996189,2010,Footbag again in the Zara,Open Net Singles,5,4,5,5,False,Open Net Singles,1.0
1268445253,2010,2010 Green Cup Presented by Chaos,Open Doubles Net,16,1,16,4,False,Open Doubles Net,1.0
1268445253,2010,2010 Green Cup Presented by Chaos,Open Singles Net,24,1,24,4,False,Open Doubles Net,0.75
1268445253,2010,2010 Green Cup Presented by Chaos,Mixed Doubles Net,2,1,2,4,False,Open Doubles Net,0.788
1270631935,2010,RNH Contest 2010,Open Singles Net,30,29,17,17,True,Open Singles Net,1.0
1277805979,2010,French Footbag Championships 2010,Open Doubles Net,8,7,8,8,False,Open Doubles Net,1.0
1280907422,2010,10th Swiss Footbag Championships,Footbag-Net Doubles,7,6,7,7,False,Footbag-Net Doubles,1.0
1282224512,2010,12th Annual German Footbag Championships,Golf,8,7,8,8,False,Golf,1.0
1285506605,2010,2010 NYJ/Midwest Regionals Footbag Championships,Routines,11,9,5,5,True,Routines,1.0
1286381599,2010,4to Campeonato Suramericano de Footbag,Open Singles,21,20,21,20,False,Open Singles,1.0
1286381599,2010,4to Campeonato Suramericano de Footbag,Intermediate Singles,14,13,14,13,False,Intermediate Singles,1.0
1286644859,2010,Czech Footbag Championship 2010,Net Singles,5,4,5,5,False,Net Singles,1.0
1287439208,2010,Naantalin Seudun Mestaruuskilpailut,Open Doubles Net,6,4,4,4,False,Open Doubles Net,1.0
1288096032,2010,Zocha Jam 2010,Circle Contest,4,12,4,8,False,Circle Contest,1.0
1288096032,2010,Zocha Jam 2010,Request Contest,18,17,15,15,False,Request Contest,1.0
1293877917,2011,13th Annual IFPA European Footbag Championships,Open Shred 30,9,10,9,9,False,Open Shred 30,1.0
1293877917,2011,13th Annual IFPA European Footbag Championships,Open Singles Net,36,35,36,36,False,Open Singles Net,1.0
1299532552,2011,4th Annual Windy City Cup Footbag Net Championships,Intermediate Singles,9,8,9,7,False,Intermediate Singles,1.0
1301837824,2011,"The AkiSphere 2011, presented by AKIQ",Open Doubles Net,10,9,11,11,False,Open Doubles Net,1.0
