person_id,person_canon,style_mentions_total,distinct_style_terms,atomic,barraging,blazing,ducking,gyro,pixie,spinning,stepping,symposium,tapping
ac1268dc-a961-568f-860e-63e9ea815c01,Damian Gielnicki,19,8,3,0,0,1,1,1,8,1,3,1
4ad82639-801d-5c4b-aae6-f07e5dfe67d2,Mariusz Wilk,14,7,1,0,0,2,3,2,0,3,2,1
0c03e968-f8b4-58fa-94d9-7c5094645d7a,Honza Weber,14,4,0,0,0,5,0,6,2,1,0,0
2f3d1d48-2e06-57f0-bca0-5211c668f88f,Julien Appolonio,13,4,0,0,0,4,0,4,0,0,4,1
4451a36c-41ca-55ab-87f3-d364b6f485ee,Jan Honza Weber,11,5,1,0,0,3,1,5,0,0,1,0
4d04edec-6cd0-582d-b4e1-e8ead070a8c8,Jim Penske,11,5,0,1,0,1,1,2,6,0,0,0
9fccb3a3-3408-518a-aacb-43d9678fcce4,Pawel Nowak,9,5,4,0,0,1,0,0,2,0,1,1
8859edda-82f6-5013-97d0-1057cb8bdd3b,Arkadiusz Stanek,8,6,2,0,0,2,1,1,1,0,1,0
78d0c91f-b1ec-572e-855b-a7d3f706f8b7,Stefan Siegert,8,4,2,0,0,0,0,4,0,1,1,0
401af1f3-a976-5403-9740-210e2849f159,Maciej Niczyporuk,7,3,0,0,0,0,0,5,1,0,1,0
48268322-19d9-5180-aac2-241293167d21,Nick Landes,6,3,0,0,0,1,2,0,3,0,0,0
04a43526-37ba-5ea0-a01c-8e357a694c42,Felix Zenger,6,2,0,0,0,0,0,0,4,0,2,0
bf5ce745-18b5-50b5-87a5-b2af6ffbf21c,Byrin Wylie,5,3,0,0,0,2,1,0,2,0,0,0
c29c4aa7-5b1e-54d1-9435-2a45edfd669c,Christopher Schillem,5,3,2,0,0,2,0,0,0,1,0,0
6d948954-90cb-5446-9a60-9d4ca0ef4734,Filip Wojcik,5,3,0,0,0,1,0,3,0,1,0,0
e53e759e-e2e1-589b-a5b2-4c95e89b8e8c,Rory Dawson,5,3,0,0,0,1,0,3,0,1,0,0
c90a00eb-95d7-5375-a769-b71cbce34d87,Jakob Wagner,5,2,0,0,0,1,0,4,0,0,0,0
437d9bc1-f872-5687-9191-689dccedb6d0,Michal Biarda,5,2,0,0,0,1,0,4,0,0,0,0
e719220a-29e0-5844-869b-58c53a0b88b9,Bartosz Bubula,4,4,1,0,0,1,0,1,0,0,1,0
f52e0fe8-4eff-5532-9af4-14124f1e92ee,Matthias Lino Schmidt,4,4,1,0,0,1,0,0,1,0,1,0
98ce4e04-05ca-56ca-b8c6-83f51c164c89,Vaclav Klouda,4,4,1,0,0,1,0,0,1,0,1,0
16aae952-d265-5e4d-81b8-5474f6c43802,Jorden Moir,4,3,0,0,0,0,1,0,0,2,1,0
6c912402-7d0e-580d-938c-7c6542c48bb1,Kevin Regamey,4,3,1,0,0,0,0,1,0,0,2,0
700e0ec0-94b9-5de3-b9a9-8d40a3645de3,Patrik Cerny,4,3,0,0,0,1,0,2,1,0,0,0
8a15006e-bc85-5621-bbe6-66090397b7d2,Przemyslaw Pietrzycki,4,3,1,0,0,0,0,2,0,1,0,0
cb047679-c1ef-5ab8-8944-999ca66d1ea3,CARLOS RAMIREZ,4,2,0,0,0,0,0,3,0,1,0,0
033a8589-0c98-5729-a8b4-068c4efcf025,David Clavens,4,2,0,0,1,0,0,0,3,0,0,0
862e03c6-8d7a-5d53-9571-016904a7b7b2,Gary Yao,4,2,0,0,0,2,0,2,0,0,0,0
9f9142e1-95ac-511a-b996-7873698c7818,Kyle Hewitt,4,2,1,0,0,0,0,0,0,0,3,0
4f0fcdbc-8dfe-51fc-b92c-b3cda4dd0c00,Marcin Bujko,4,2,0,0,0,0,0,2,2,0,0,0
8983b558-9cb9-5a25-bb28-589435a8f34e,Serge Kaldany,4,2,0,0,0,2,0,2,0,0,0,0
5a81a6d9-0309-5dc5-aaac-38ef59d8d4ac,Cristopher Schillem,3,3,0,0,0,1,0,0,0,1,1,0
0c1d57ac-f8a6-5c3e-a66f-eac82c8a5df4,Jindrich Smola,3,3,1,0,0,1,0,1,0,0,0,0
23c6748c-39f8-5ecd-ae9c-c3d83c0bfec6,Luis Monhollon,3,3,0,0,0,1,1,0,1,0,0,0
3568ce18-bf1b-55b6-aefd-61f65f55b08c,Jakub Grabarczyk,3,2,2,1,0,0,0,0,0,0,0,0
ee569024-9b98-5ae0-8f39-8f0a97d99dfa,Lasse Salmenhaara,3,2,0,0,0,1,0,2,0,0,0,0
05e1eec0-b3f1-5728-8ad2-831de4fc204f,Marco Hartig,3,2,0,0,0,0,0,1,0,2,0,0
fc3cfa03-7ddb-52e1-905b-d60f3b4a3616,Martin Nový,3,2,1,0,0,0,0,0,0,0,2,0
ecd47dee-6803-5d73-b31c-dcb9860e767e,Mathieu Gauthier,3,2,0,0,0,0,1,2,0,0,0,0
6afe2e47-df47-5055-bba0-0aa2341d43e0,Max Boucoiran,3,2,0,0,0,0,0,0,2,0,1,0
2eaccb7b-430c-5678-b982-9415b20b24cf,Miquel Clemente,3,2,0,0,0,0,0,2,0,0,0,1
3de01059-2378-5f56-910f-08e61f3294a1,Roy Klein,3,2,0,0,0,1,0,2,0,0,0,0
4beb2ce2-19e8-5443-9b5b-e221febea787,Andreas Nawrath,2,2,0,0,0,0,0,1,1,0,0,0
11542335-67de-5fd2-9d43-5f2b55ea1fef,Brian Sherrill,2,2,0,0,0,0,1,0,1,0,0,0
97dfde65-956c-5842-994d-05a877c49182,Cale McCoy,2,2,0,0,0,1,0,1,0,0,0,0
e8aa88b0-f630-555a-ac0c-60d033607464,Chris Balch,2,2,0,0,0,0,1,1,0,0,0,0
cef01455-9290-53a6-9fab-a9c9dad8fc34,Daryl Canady,2,2,0,0,0,1,0,0,0,0,1,0
4c4087a3-79f1-5d9a-bf12-ab7262d18014,Diego Velazquez,2,2,0,0,0,1,0,1,0,0,0,0
4c3321eb-1528-530b-8f38-c42260d9af08,Donner Oleg,2,2,0,0,0,0,0,1,0,0,0,1
c8aa0d72-fc62-5da2-94ab-b7eabd58ae19,Eric Chang,2,2,0,0,0,1,0,0,0,1,0,0
d31e8ab0-0924-5e2c-b3f8-560279e37c9a,Franck Rémy,2,2,0,0,0,0,0,1,0,1,0,0
2512e04d-9d40-5794-9807-5cbf616df0a6,Gielnicki Damian,2,2,0,0,0,0,0,1,1,0,0,0
1e09ba09-ec4b-5961-8b95-e0d638dc4f5c,Jan Weber,2,2,1,0,0,1,0,0,0,0,0,0
4122d672-aba7-5e34-a94f-df9602413736,Jan Zimmermann,2,2,0,0,0,0,0,1,0,1,0,0
f07b9590-cb35-55ba-8277-3e9c15e177d0,Krystian Bubula,2,2,0,0,0,1,0,0,0,0,1,0
ddf2f704-a4d2-5653-a82a-45987d37645c,Krzysztof Sobótka,2,2,0,0,0,0,0,1,0,1,0,0
f3627296-7396-580c-90ac-ad13b76da7b5,Matthew Kemmer,2,2,0,0,0,0,1,0,0,0,0,1
2eb79ea1-9ae9-512a-83bc-3f4a351650f8,Motorov Pavel,2,2,1,0,0,0,0,0,0,1,0,0
27906256-df7d-5101-8427-d2735d2bda7a,Pomanov Andrey,2,2,0,0,0,1,0,0,1,0,0,0
82c36f56-236f-4496-826b-cf59a6fcc4ed,Rafal Kaleta,2,2,0,0,0,1,0,1,0,0,0,0
b0d9cc85-7974-55b2-918a-538fc48484e4,Saiid Shaheen,2,2,0,0,0,0,1,1,0,0,0,0
e5ae5d7c-8286-5afd-9fc9-1fd50a059ff2,Sam Potter,2,2,0,0,1,0,0,1,0,0,0,0
457cdaa2-3ec3-5aed-b340-708420125d7c,Will Digges,2,2,0,1,0,0,0,1,0,0,0,0
348ea683-38f2-54ab-ad04-db29a37bb687,Zeb Jackson,2,2,0,0,0,1,0,0,1,0,0,0
dfc35597-39c1-5425-8b94-6e24dbc24696,Cass Taylor,2,1,0,0,0,0,0,2,0,0,0,0
b6e28eb4-9de6-52a6-bde7-4ffaaa488933,Christoph Alexander,2,1,0,0,0,2,0,0,0,0,0,0
aae53613-b61c-53cf-99ea-462a4e768430,Christophe Kabache,2,1,0,0,0,0,0,2,0,0,0,0
cc144a17-3ed0-5c64-9305-e9a45fa00290,Dan Ednie,2,1,0,0,0,0,0,2,0,0,0,0
8a740aac-66c5-5fe2-a482-2acd1d1cdc11,Lynton Stephens,2,1,0,0,0,0,0,2,0,0,0,0
de72051a-f92e-5e3c-b161-af9028b11492,Adam Greenwood,1,1,1,0,0,0,0,0,0,0,0,0
448d4c37-75f4-5396-bd2f-544dd0ab967c,Alex Verget,1,1,0,0,0,0,0,0,0,1,0,0
bd9edb36-ddd6-5fa8-b46f-aad4e708716d,Alexander Faber,1,1,0,0,0,0,1,0,0,0,0,0
66c8ee00-cda8-5430-ba1c-ffb177198d18,Andrew Coleman,1,1,0,0,0,0,0,1,0,0,0,0
8606f658-92cd-570c-bf5e-2865de4a9b48,Andrew Grant,1,1,0,0,0,0,0,0,0,1,0,0
835fd269-0b77-57fe-9efc-cbdf4b567a8b,Andrey Dyakonov,1,1,0,0,0,1,0,0,0,0,0,0
00d8d056-e8a7-5229-97bf-e0cb3b881cd8,Anssi Sundberg,1,1,0,0,0,0,0,0,0,0,1,0
a9cb54c3-9f91-563a-a953-4de8dda05ffe,Aric McIntosh,1,1,0,0,0,0,0,0,0,1,0,0
6513b145-8a4a-556a-a04f-981d95db2d70,Arkadiusz Dudzinski,1,1,1,0,0,0,0,0,0,0,0,0
9ccb1c1b-89e0-5406-9e37-a287f34a84d8,Ben Schmaltz,1,1,0,0,0,0,0,0,0,0,1,0
77de2a9d-0785-5fea-bc31-e614ae622492,Benny Kellman,1,1,0,0,0,0,0,0,1,0,0,0
153f48a3-6f39-583d-a39a-e791454234e8,Brett Ables,1,1,0,0,0,0,0,1,0,0,0,0
40b58c8d-2350-5041-8600-e392b511e0bc,Carlos Terraza,1,1,0,0,0,0,0,1,0,0,0,0
bd1ac97c-6c20-5bcd-9fbd-f5279f4c22bf,Chris Seibert,1,1,1,0,0,0,0,0,0,0,0,0
c1c401e4-2560-5f81-9f5b-8c866a93eb12,Cody Rushing,1,1,0,0,0,0,0,1,0,0,0,0
32577a59-fe63-5834-9b4f-16f930fecfec,DANIEL CADAVID,1,1,0,0,0,1,0,0,0,0,0,0
4d352728-74b6-51db-aa04-1cf6d24b7cc7,Damian Piechocki,1,1,0,0,0,0,0,0,1,0,0,0
2425d614-d376-5d98-b7fb-cb445d10792c,Dan Klokow,1,1,0,0,0,0,0,1,0,0,0,0
60c41b2e-1175-5698-99b7-6e5ee25bec58,Daniel Meyer,1,1,0,0,0,0,0,1,0,0,0,0
bd9a2c9a-1554-5238-929d-c876342007a3,Danny Petrick,1,1,0,0,0,0,0,1,0,0,0,0
bd97ebe2-5ecd-5854-9d2e-b877a27ac527,Daryl Genz,1,1,0,0,0,0,0,1,0,0,0,0
b3a275df-fe1c-58b4-967b-d0396cec4211,Dominik Šimků,1,1,0,0,0,0,0,0,1,0,0,0
7a8c8b83-9ae8-5b65-8f1f-6923058cc237,Dorota Wojtasiuk,1,1,0,0,0,0,0,1,0,0,0,0
162332af-26d3-557e-9bf8-ff21c226fbaf,Dylan Johnson,1,1,0,0,0,0,0,1,0,0,0,0
10f0e26c-4ec9-5916-bc9b-ff587c0681d4,Eric Chan,1,1,0,0,0,0,0,0,0,1,0,0
e66d59f6-6fb8-5ca7-b989-208de0ec0dc6,Eric Reiley,1,1,0,0,0,1,0,0,0,0,0,0
10854ae3-60d7-51a7-ad9a-36033b541bd9,Ethan Husted,1,1,0,0,0,0,0,0,0,1,0,0
be7a8e7f-f052-5c31-b27b-47d4fee9a265,Evan Gatesman,1,1,1,0,0,0,0,0,0,0,0,0
ec487576-891e-5f91-8652-420c0930a1d1,François Perreault,1,1,0,0,0,0,0,1,0,0,0,0
10573dc4-31ee-5440-9df4-a68d11bd4801,Gordon Bevier,1,1,0,0,0,0,0,0,0,1,0,0
4e7d48ab-1639-5784-bf98-d936a3935489,Gray Chadwick,1,1,0,0,0,0,0,0,0,0,1,0
2863264e-bf65-5f88-aef4-0b89332b7a29,Hubert Godlewski,1,1,0,0,0,0,0,0,1,0,0,0
1bfb569c-6400-5fbb-aca1-66b0cfb3abc3,Jacob Wren,1,1,0,0,0,0,0,0,1,0,0,0
7a8314b4-2af9-584d-bd79-4af7a74d9c21,Jakub Mosciszewski,1,1,0,0,0,0,0,1,0,0,0,0
82d0f2bd-ed68-5ec2-a31d-47889d537613,James Risden,1,1,0,0,0,0,0,1,0,0,0,0
49ad435e-3398-59da-985c-65ce0612bdd3,Jan Brekle,1,1,0,0,0,1,0,0,0,0,0,0
9a67acb8-d69e-565c-9a52-ca308a6babc0,Janis Thal,1,1,1,0,0,0,0,0,0,0,0,0
34f17114-99b7-5320-b4ed-10a6813859ac,Jay Boychuk,1,1,0,0,0,0,0,1,0,0,0,0
54d24f68-96bf-5837-bdaa-02e3d0774e76,Jean Phillipe Labbé,1,1,0,0,0,0,0,0,0,0,1,0
ac873358-cd16-58eb-81c0-5c9b798de252,Jess Archer,1,1,0,0,0,0,0,1,0,0,0,0
3ff6ba8b-ae30-553e-81f9-18538fb5c86b,Jessica Archer,1,1,0,0,0,0,0,1,0,0,0,0
a16f307e-68d5-5ad4-be8f-234aeefc45fc,Joel Roset,1,1,0,0,0,0,0,1,0,0,0,0
0f3711ce-8884-5d1c-a612-ac106a4864cf,John Fanuzzi,1,1,0,0,0,0,0,1,0,0,0,0
ac5e2112-c6cb-58f1-869d-6f6f8a63d13b,John Mahood,1,1,1,0,0,0,0,0,0,0,0,0
126a7db1-2603-5589-848f-c0af515660a1,Johnathon Murphy,1,1,0,0,0,0,0,1,0,0,0,0
1fe9531c-8c55-5926-a2c0-74476e4f5768,Jon Lee,1,1,0,0,0,0,0,0,0,0,1,0
9dea6e25-e6ab-5aeb-9f47-1f36fcf88d94,Josh Gayhart,1,1,0,0,0,0,0,1,0,0,0,0
a2823c8b-27b9-5f22-95cd-58af9770f3a6,Josh Owens,1,1,0,0,0,0,0,1,0,0,0,0
7ed2abb4-f9f2-5432-9511-b62ce1a09957,Julian Sinnl,1,1,0,0,0,0,0,1,0,0,0,0
91dbdc03-080b-5170-a2b4-6fcbc7b4f053,Justin Dale,1,1,0,0,0,0,0,0,1,0,0,0
eb025239-b9ab-5cef-9307-7639f88a225a,Karim Daouk,1,1,0,0,0,1,0,0,0,0,0,0
d1aace44-cd92-5b85-9ed1-fe4afb2cd502,Ken Somolinos,1,1,0,0,0,0,1,0,0,0,0,0
ad54afe3-3f18-5862-87d1-4e02e4fbf9fd,Kevin Crowley,1,1,0,0,0,0,0,1,0,0,0,0
60860e34-935d-5bb0-b718-a430fa4a142e,Lon Smith,1,1,0,0,0,0,0,0,1,0,0,0
94fa84c1-d2d6-52df-a224-c318a0e3771c,Maciej Pietrzycki,1,1,0,0,0,0,0,1,0,0,0,0
db71b1dc-51bc-54e5-9360-1d186c8f1cad,Mateusz Janicki,1,1,0,0,0,0,0,1,0,0,0,0
3e78df68-5425-5d48-a88a-3bf59fe2934f,Matt Kemmer,1,1,0,0,0,0,0,0,1,0,0,0
8069a4cf-1543-5a0a-bf83-92edff9e120f,Maxime Boucoiran,1,1,0,0,0,0,0,1,0,0,0,0
0b3204c8-7e99-586e-aeb2-4186d0901fe3,Milan Benda,1,1,0,0,0,1,0,0,0,0,0,0
0cddd9e7-73d7-57d8-a99a-1d401206165a,Nathan Bonslaver,1,1,0,0,1,0,0,0,0,0,0,0
baab18da-920b-51d7-984d-688c23e82219,Nick Laroche,1,1,0,0,1,0,0,0,0,0,0,0
23462c9a-29d4-578f-9cfc-19d9ba086f45,Pavel Cerveny,1,1,0,0,0,0,0,0,0,0,1,0
cd863f34-51f1-52ff-b4a8-516d262e99eb,Radek Turek,1,1,0,0,0,0,0,1,0,0,0,0
26098074-1c3e-5e3c-8c61-2b7eb8f32eda,Reid Strieller,1,1,0,0,0,0,0,0,1,0,0,0
218b51ae-f5be-5230-bb26-10aa2981036c,Riku Ahola,1,1,0,0,0,0,0,0,0,0,1,0
62bce1c2-2033-51c8-825d-b43fd478ab82,Répási Csaba,1,1,0,0,0,0,0,0,1,0,0,0
b1905548-0ada-590b-8d3b-3264d4e49e99,Santeri Karvinen,1,1,0,0,0,0,0,1,0,0,0,0
ef2c88aa-ab9e-58d1-b4c9-1374e77859eb,Sebastian Ceballos,1,1,0,0,0,1,0,0,0,0,0,0
0f60f82c-75c9-552f-b962-5832d5cda779,Sergio Garcia,1,1,0,0,0,0,0,0,0,0,0,1
513c8bcf-4c53-5b90-8c71-a823c1f917a2,Stu Sapia,1,1,0,0,0,0,0,1,0,0,0,0
5dd45023-8247-57f7-be12-df4702a96951,Tom Kotsakos,1,1,0,0,0,0,1,0,0,0,0,0
ac1ba46f-f0b2-522d-839c-6b342f20719f,Weber Honza,1,1,0,0,0,0,0,1,0,0,0,0
b274fbcc-9283-5e2e-9c68-704f3212796e,Yves Kreil,1,1,0,0,0,0,0,0,0,1,0,0
8fc44a4b-aa33-5106-8cc6-8f2303bf1b0e,Zac Jackson,1,1,0,0,0,0,0,1,0,0,0,0
