event_id,year,division_canon,merged_division_score,n_rows,n_people,n_places,min_place,max_place,n_first_place_rows,max_rows_same_place,n_places_repeated_gt2,n_places_repeated_gt4,flag_many_firsts,flag_repeated_places_gt4,flag_low_place_variety,flag_dense_repeat_pattern,flag_partial
1235149093,2009,Initial Seeding Open Doubles Net,8,31,1,13,1,13,6,6,4,3,True,True,False,True,False
1021665982,2002,Novice,8,42,37,10,1,10,5,7,8,5,True,True,False,True,False
1270631935,2010,Open Singles Net,8,29,17,17,1,17,5,5,3,2,True,True,False,True,False
1268407783,2010,Intermediate,8,20,12,7,1,7,5,5,4,1,True,True,False,True,False
1487797845,2017,Open Routines,8,28,21,8,1,8,4,5,5,4,True,True,False,True,False
1260368810,2010,Results Pro Image Cash Golf,8,19,17,10,1,14,3,7,2,1,True,True,False,True,False
1391189882,2014,Open Sick 3-Trick,6,6,6,1,10,10,0,6,1,1,False,True,True,False,True
1096318324,2004,Shred 30,5,18,12,7,1,7,4,4,3,0,True,False,False,True,False
1138601883,2006,Sick 1,5,12,11,3,1,3,4,4,3,0,True,False,False,True,False
1270631935,2010,Open Doubles Net,5,21,1,10,1,10,3,4,5,0,True,False,False,True,False
1268407783,2010,Novice,5,18,16,7,1,7,3,4,3,0,True,False,False,True,False
1114277529,2005,Open Freestyle,5,13,10,7,1,7,3,3,3,0,True,False,False,True,False
910551956,1999,Novice Doubles Net,5,11,1,4,1,4,3,3,3,0,True,False,False,True,False
1114277529,2005,Intermediate Freestyle,5,10,7,4,1,30,3,3,3,0,True,False,False,True,False
947026077,2000,Freestyle,5,9,9,3,1,3,3,3,3,0,True,False,False,True,False
947026077,2000,Singles Net,5,9,9,3,1,3,3,3,3,0,True,False,False,True,False
1137937282,2006,Rutina Intermediate,5,9,7,3,1,3,3,3,3,0,True,False,False,True,False
1138601883,2006,Sick 3,5,9,9,3,1,3,3,3,3,0,True,False,False,True,False
1158263300,2006,Women Freestyle,5,9,9,3,1,3,3,3,3,0,True,False,False,True,False
947026077,2000,Doubles Net,5,8,1,3,1,3,3,3,2,0,True,False,False,True,False
1035277529,2003,Intermediate Doubles Net,5,50,50,10,1,13,2,26,2,2,False,True,False,True,False
1035277529,2003,Open Doubles Net,5,40,40,7,1,11,2,20,3,2,False,True,False,True,False
1547415984,2019,Shred 30,5,52,38,22,1,22,2,15,3,3,False,True,False,True,False
915561090,1999,Mixed Doubles Net,5,24,24,6,1,7,2,12,2,1,False,True,False,True,False
1297811412,2011,Request Contest,5,35,24,11,1,19,2,8,4,3,False,True,False,True,False
1219405634,2008,Circle Contest,5,34,25,9,1,23,2,8,5,3,False,True,False,True,False
1376036018,2013,Sick 3,5,38,19,11,1,11,2,7,6,3,False,True,False,True,False
1297811412,2011,Intermediate Singles Freestyle,5,19,19,6,1,9,2,6,2,2,False,True,False,True,False
1035277529,2003,Mixed Doubles Net,5,14,14,4,1,5,2,6,2,1,False,True,False,True,False
1105087209,2005,Open Singles Routines,5,46,46,11,1,43,1,23,3,3,False,True,False,True,False
1035277529,2003,Intermediate Singles Net,5,41,41,11,1,21,1,21,3,2,False,True,False,True,False
1035277529,2003,Open Singles Net,5,33,33,13,1,17,1,17,2,1,False,True,False,True,False
1547415984,2019,Battle Contest,5,34,34,8,1,33,1,16,3,2,False,True,False,True,False
1064330873,2003,Singles Net Open,5,20,20,6,1,9,1,12,2,1,False,True,False,True,False
1293877677,2011,Open Circle Contest,5,42,42,10,1,36,1,10,6,3,False,True,False,True,False
1135116604,2006,Open Singles Freestyle,5,57,56,18,1,54,1,8,10,3,False,True,False,True,False
1194517448,2008,Open Singles Routines,5,55,55,16,1,48,1,8,8,4,False,True,False,True,False
1102576153,2005,Open Singles Freestyle,5,52,52,18,1,49,1,8,7,6,False,True,False,True,False
1163784775,2007,Open Singles Freestyle,5,42,42,15,1,41,1,8,6,2,False,True,False,True,False
1265745512,2010,Open Singles Routines,5,40,40,15,1,32,1,8,6,2,False,True,False,True,False
1265745512,2010,Open Circle Contest,5,37,37,10,1,33,1,8,6,3,False,True,False,True,False
1323272493,2012,Open CirCle ConTest,5,36,36,10,1,30,1,8,6,3,False,True,False,True,False
876336655,1998,Open Singles,5,30,30,10,1,25,1,8,4,2,False,True,False,True,False
919703711,1999,Open Singles,5,30,30,13,1,23,1,8,3,2,False,True,False,True,False
1547415984,2019,Request Contest,5,27,27,13,1,26,1,8,4,1,False,True,False,True,False
1293877677,2011,Open 2-Square,5,24,24,8,1,20,1,8,4,2,False,True,False,True,False
915561090,1999,Open Singles Freestyle,5,20,20,10,1,17,1,8,2,1,False,True,False,True,False
1265745512,2010,Open 2-Square,5,17,17,7,1,17,1,8,2,1,False,True,False,True,False
1519215398,2018,Open Freestyle Battles,5,15,15,6,1,9,1,7,2,1,False,True,False,True,False
1069929277,2004,Open Singles Freestyle,5,48,47,18,1,47,1,6,7,7,False,True,False,True,False
1293877677,2011,Open Singles Routines,5,40,40,15,1,36,1,6,7,3,False,True,False,True,False
1293877677,2011,Open Request Contest,5,39,39,14,1,38,1,6,6,2,False,True,False,True,False
1417735560,2015,Open Circle Contest,5,30,30,10,1,29,1,6,5,2,False,True,False,True,False
876356874,1998,Open Singles Net,5,25,25,15,1,24,1,6,2,2,False,True,False,True,False
876356874,1998,Intermediate Singles Net,5,24,24,14,1,19,1,6,2,2,False,True,False,True,False
910551956,1999,Open Singles Net,5,23,23,13,1,19,1,6,2,2,False,True,False,True,False
1135116604,2006,Intermediate Singles Net,5,23,23,13,1,19,1,6,2,2,False,True,False,True,False
1105087209,2005,Open Doubles Net,5,14,1,6,1,9,1,6,2,1,False,True,False,True,False
1323272493,2012,Request Contest,5,41,41,17,1,41,1,5,8,2,False,True,False,True,False
1042821772,2003,Open Singles Freestyle 38 Player,5,38,37,15,1,36,1,5,7,3,False,True,False,True,False
1042821772,2003,Intermediate Singles Freestyle 33 Player,5,32,32,14,1,31,1,5,6,1,False,True,False,True,False
980969461,2001,Open Singles Freestyle,5,29,29,17,1,26,1,5,2,1,False,True,False,True,False
1269266785,2010,Circle Contest,5,29,29,11,1,27,1,5,5,2,False,True,False,True,False
1278603677,2010,Open Circle Contest,5,15,15,7,1,14,1,5,2,1,False,True,False,True,False
1161888703,2006,[U]Open Circle Competition[/U],3,7,7,3,1,3,3,3,1,0,True,False,False,False,False
1527557123,2018,Open Doubles,3,7,5,3,1,3,3,3,1,0,True,False,False,False,False
892446131,1998,Intermediate,3,3,3,1,1,1,3,3,1,0,True,False,False,False,False
1473853257,2016,Footbag Golf,3,15,12,8,1,8,2,5,1,1,False,True,False,False,False
915561090,1999,Intermediate Singles Net,3,21,21,9,1,9,1,13,1,1,False,True,False,False,False
1069929277,2004,Intermediate Singles Net,3,23,23,13,1,13,1,11,1,1,False,True,False,False,False
915561090,1999,Intermediate Singles Freestyle,3,18,18,10,1,10,1,9,1,1,False,True,False,False,False
1135116604,2006,Open Doubles Net,3,35,1,28,1,35,1,6,1,1,False,True,False,False,False
1646855336,2022,Open Doubles Net,3,19,1,13,1,19,1,6,1,1,False,True,False,False,False
1298627369,2011,Open Footbag Golf,3,16,16,10,1,16,1,5,1,1,False,True,False,False,False
1163784775,2007,Mixed Doubles Net,3,14,1,9,1,10,1,5,1,1,False,True,False,False,False
1204006435,2008,Open Doubles,3,11,1,7,1,7,1,5,1,1,False,True,False,False,False
876336655,1998,Open Mixed Doubles,3,9,1,5,1,5,1,5,1,1,False,True,False,False,False
1036298726,2003,Sick Trick,3,9,9,5,1,5,1,5,1,1,False,True,False,False,False
1160579826,2006,Mini Net,3,9,9,5,1,5,1,5,1,1,False,True,False,False,False
1176318174,2007,"""B"" Division Doubles Net",3,9,1,5,1,5,1,5,1,1,False,True,False,False,False
1668541701,2022,Open Singles Golf,3,8,8,4,1,9,1,5,1,1,False,True,False,False,False
876356874,1998,Open Mixed Doubles Net,3,14,1,6,2,13,0,4,3,0,False,False,False,True,True
